<<<<<<< HEAD
"Product ID","Product Name","Line Item Quantity","Product SKU","Product Categories"
7562,"ทุเรียนแกะหมอนทอง (ลังเล็ก) (6000 กรัม)",1,FT0011,ผลไม้
8031,"กล้วยน้ำว้า (650 กรัม)",5,FT0230,ผลไม้
6769,"มะม่วงน้ำดอกไม้ (1000 กรัม)",3,FT0090,ผลไม้
8216,"ทุเรียนภูเขาไฟ (500 กรัม)",10,FT0035,ผลไม้
7990,"ทุเรียนหมอนทองลูก (10000 กรัม)",2,FT0480,ผลไม้
7002,"กระชายหัว (200 กรัม)",5,VB0382,ผัก
6873,"ข่า (100 กรัม)",5,VB0401,ผัก
6992,"ผักกระเฉด (200 กรัม)",5,VB0282,ผัก
6868,"ผักชีฝรั่ง (100 กรัม)",10,VB0351,ผัก
7064,"ผักบุ้งนา (200 กรัม)",5,VB1022,ผัก
6942,"ฝักกระถินอ่อน (100 กรัม)",5,VB1191,ผัก
6864,"พริกขี้หนูสวน (100 กรัม)",10,VB0311,ผัก
6956,"พริกลาว (100 กรัม)",10,VB1341,ผัก
6911,"มะเขือไข่เต่า (100 กรัม)",5,VB0831,ผัก
6921,"สะตอแกะ (100 กรัม)",5,VB0951,ผัก
7520,"หน่อไม้ไผ่ตง (1000 กรัม)",2,VB1330,ผัก
6842,"ใบกะเพรา (100 กรัม)",10,VB0061,ผัก
6901,"ใบมะกรูด (100 กรัม)",15,VB0711,ผัก
6904,"ใบย่านาง (100 กรัม)",5,VB0741,ผัก
6843,"ใบแมงลัก (100 กรัม)",10,VB0071,ผัก
6844,"ใบโหระพา (100 กรัม)",20,VB0081,ผัก
6862,"รากผักชี (100 กรัม)",5,VB0291,ผัก
8053,"CP เลือดหมูก้อน (400 กรัม)",10,IF0540,วัตถุดิบ
8027,"ปลาทูหอม (500 กรัม)",10,IF0640,วัตถุดิบ
7638,"ไส้กรอกอิสานวุ้นเส้น (1000 กรัม)",3,MSF0400,ลูกชิ้นไส้กรอก
7883,"ปลาช่อนท้องขาด (500 กรัม)",5,DSF0820,อาหารแห้ง
7853,"ปลาวงพิเศษ (500 กรัม)",5,DSF0520,อาหารแห้ง
8023,"เส้นใหญ่ตราดอกบัว ถุงเล็ก (500 กรัม)",5,IF0895,วัตถุดิบ
8036,"เส้นเล็กตราดอกบัว (500 กรัม)",2,IF0820,วัตถุดิบ
