Product ID,Product Name,Line Item Quantity,Product SKU,Product Categories
6766,เงาะ (1000 กรัม),37,FT0140,ผลไม้
6767,ลองกอง (1000 กรัม),10,FT0075,ผลไม้
6768,สละ (1000 กรัม),3,FT0110,ผลไม้
6769,มะม่วงน้ำดอกไม้ (1000 กรัม),3,FT0090,ผลไม้
6771,มังคุด (1000 กรัม),16,FT0060,ผลไม้
6777,ขนมเทียนรวมไส้-โกฮ้อง (300 กรัม),1,DTF0060,ขนม
6787,ลอดช่องวัดเจษ 400 ก (400 กรัม),7,DTF0210,ขนม
6798,ชิฟฟ่อนหนองพงนก-กล่องใหญ่ (330 กรัม),9,DTF0320,ขนม
6823,ปังสังขยา ตรา ชฎา (300 กรัม),7,DTF0150,ขนม
6825,ปังเว้ยเฮ้ยทุกไส้ (150 กรัม),5,DTF0170,ขนม
6839,คะน้าต้น (100 กรัม),3,VB0031,ผัก
6841,ผักบุ้งจีน (100 กรัม),4,VB0051,ผัก
6842,ใบกะเพรา (100 กรัม),83,VB0061,ผัก
6843,ใบแมงลัก (100 กรัม),58,VB0071,ผัก
6844,ใบโหระพา (100 กรัม),82,VB0081,ผัก
6852,ถั่วฝักยาว (100 กรัม),8,VB0161,ผัก
6855,พริกจินดาแดง (100 กรัม),310,VB0211,ผัก
6859,มะเขือพวง (100 กรัม),48,VB0261,ผัก
6860,เม็ดกระถิน (100 กรัม),32,VB0271,ผัก
6861,ผักกระเฉด (100 กรัม),14,VB0281,ผัก
6862,รากผักชี (100 กรัม),11,VB0291,ผัก
6863,พริกไทยอ่อน (100 กรัม),28,VB0301,ผัก
6864,พริกขี้หนูสวน (100 กรัม),25,VB0311,ผัก
6865,ผักบุ้งไทย (100 กรัม),14,VB0321,ผัก
6868,ผักชีฝรั่ง (100 กรัม),23,VB0351,ผัก
6869,ใบเตย (100 กรัม),16,VB0361,ผัก
6871,กระชายหัว (100 กรัม),13,VB0381,ผัก
6873,ข่า (100 กรัม),20,VB0401,ผัก
6874,ชะอม(กำใหญ่) (100 กรัม),68,VB0411,ผัก
6876,ผักแขยง(กำ) (100 กรัม),10,VB0431,ผัก
6879,กระเทียมไทย จุก (100 กรัม),3,VB0461,ผัก
6880,กระเทียมไทย กลีบ (100 กรัม),10,VB0471,ผัก
6882,กุ้ยช่ายเขียว (100 กรัม),13,VB0491,ผัก
6888,ถั่วพู (100 กรัม),33,VB0551,ผัก
6894,เห็ดกระด้าง (100 กรัม),15,VB0621,ผัก
6901,ใบมะกรูด (100 กรัม),27,VB0711,ผัก
6904,ใบย่านาง (100 กรัม),11,VB0741,ผัก
6909,มะเขือเหลือง (100 กรัม),4,VB0811,ผัก
6911,มะเขือไข่เต่า (100 กรัม),10,VB0831,ผัก
6914,มะเขือเทศเครือส้ม (100 กรัม),2,VB0861,ผัก
6921,สะตอแกะ (100 กรัม),50,VB0951,ผัก
6927,ผักบุ้งนา (100 กรัม),4,VB1021,ผัก
6929,ขึ้นฉ่าย (100 กรัม),13,VB1041,ผัก
6930,มะระขี้นก (100 กรัม),15,VB1051,ผัก
6931,ไส้ข่าอ่อน (100 กรัม),24,VB1061,ผัก
6935,ก้านทูน (100 กรัม),3,VB1111,ผัก
6937,ผักหวานป่า (100 กรัม),10,VB1131,ผัก
6938,ใบย่านาง เฉพาะใบ (100 กรัม),5,VB1141,ผัก
6941,ยอดกระถิน (100 กรัม),10,VB1181,ผัก
6942,ฝักกระถินอ่อน (100 กรัม),23,VB1191,ผัก
6948,เห็ดขอนขาว (100 กรัม),10,VB1251,ผัก
6950,มะเขือเสวย (100 กรัม),10,VB1271,ผัก
6951,ชะพลู (100 กรัม),27,VB1281,ผัก
6953,มะกอกลาว (100 กรัม),35,VB1301,ผัก
6955,ดอกขจร/Cowslip creeper (100 กรัม),10,VB1321,ผัก
6956,พริกลาว (100 กรัม),33,VB1341,ผัก
6957,ผักแพว (100 กรัม),10,VB1361,ผัก
6959,ดอกโสน (100 กรัม),10,VB1381,ผัก
6963,ใบมะขามอ่อน (100 กรัม),2,VB1431,ผัก
6971,ผักบุ้งจีน (200 กรัม),10,VB0052,ผัก
6982,ถั่วฝักยาว (200 กรัม),12,VB0162,ผัก
6983,มะเขือเปราะ (200 กรัม),15,VB0172,ผัก
6984,มะระจีน (200 กรัม),7,VB0182,ผัก
6992,ผักกระเฉด (200 กรัม),12,VB0282,ผัก
6996,ผักบุ้งไทย (200 กรัม),20,VB0322,ผัก
7002,กระชายหัว (200 กรัม),15,VB0382,ผัก
7005,ชะอม(กำใหญ่) (200 กรัม),15,VB0412,ผัก
7044,มะเขือเหลือง (200 กรัม),5,VB0812,ผัก
7059,กระถินฝักแก่ (200 กรัม),5,VB0962,ผัก
7060,ตะไคร้ (200 กรัม),15,VB0972,ผัก
7079,ฝักกระถินอ่อน (200 กรัม),10,VB1192,ผัก
7091,ขี้เหล็กต้ม (200 กรัม),13,VB1312,ผัก
7093,หน่อไม้ไผ่ตง (200 กรัม),25,VB1332,ผัก
7394,ผักบุ้งจีน (1000 กรัม),2,VB0050,ผัก
7405,ถั่วฝักยาว (1000 กรัม),1,VB0160,ผัก
7406,มะเขือเปราะ (1000 กรัม),2,VB0170,ผัก
7408,มะละกอดิบ (1000 กรัม),2,VB0190,ผัก
7410,พริกจินดาแดง (1000 กรัม),1,VB0210,ผัก
7428,ข่า (1000 กรัม),1,VB0400,ผัก
7464,ใบตอง (1000 กรัม),1,VB0760,ผัก
7485,ตะไคร้ (1000 กรัม),3,VB0970,ผัก
7487,ฝักสะตอ (1000 กรัม),1,VB0990,ผัก
7505,ยอดกระถิน (1000 กรัม),1,VB1180,ผัก
7520,หน่อไม้ไผ่ตง (1000 กรัม),6,VB1330,ผัก
7537,ลูกชิ้นหมูโฮเด้ง/โกเด้ง (500 กรัม),12,MSF0050,ลูกชิ้นไส้กรอก
7539,ไส้กรอกแดง แหลมทอง (1000 กรัม),3,MSF0070,ลูกชิ้นไส้กรอก
7543,ลูกชิ้นเนื้อวัว แชมป์ (1000 กรัม),5,MSF0120,ลูกชิ้นไส้กรอก
7546,ไส้กรอกแดง แหลมทอง-รสนม (500 กรัม),2,MSF0170,ลูกชิ้นไส้กรอก
7562,ทุเรียนแกะหมอนทอง (ลังเล็ก) (6000 กรัม),6,FT0011,ผลไม้
7564,ทุเรียนแกะหมอนทอง (ลังใหญ่) (12000 กรัม),14,FT0012,ผลไม้
7576,ทุเรียนกล่อง (เดี่ยว) (500 กรัม),3,FT0015,ผลไม้
7635,ไส้กรอกชีสเล็ก (500 กรัม),12,MSF0330,ลูกชิ้นไส้กรอก
7636,โบโลน่าพริก สไลด์ แหลมทอง (1000 กรัม),4,MSF0370,ลูกชิ้นไส้กรอก
7637,ไส้กรอกไก่ สอด ไส้ชีส AFM (500 กรัม),1,MSF0390,ลูกชิ้นไส้กรอก
7645,ฟุตลองสไปซี่ 7-11 (130 กรัม),5,MSF0470,ลูกชิ้นไส้กรอก
7647,สโมกกี้ ไบท์ 7-11 (400 กรัม),10,MSF0490,ลูกชิ้นไส้กรอก
7648,ลูกชิ้นจิตรปลากราย (500 กรัม),6,MSF0510,ลูกชิ้นไส้กรอก
7650,หมูยอดอนเมือง (100 กรัม),10,MSF0550,ลูกชิ้นไส้กรอก
7654,ไส้กรอกแดงแหลมทอง (1000 กรัม),8,MSF0600,ลูกชิ้นไส้กรอก
7658,จิตรทอดมันปลากราย (500 กรัม),1,MSF0640,ลูกชิ้นไส้กรอก
7661,ทอดมันปลากรายคุณอุ๊ (500 กรัม),1,MSF0670,ลูกชิ้นไส้กรอก
7665,ลูกชิ้นทอดมันปลาสีส้ม (1000 กรัม),2,MSF0710,ลูกชิ้นไส้กรอก
