"Product ID","Product SKU","Product Name","Product Categories","Line Item Quantity"
6882,VB0491,"กุ้ยช่ายเขียว (100 กรัม) Green Chives",ผัก,3
7564,FT0012,"ทุเรียนแกะหมอนทอง (ลังใหญ่) (12000 กรัม) Monthong Durian",ผลไม้,1
6951,VB1281,"ชะพลู (100 กรัม) Wildbetal Leaf Bush",ผัก,3
6874,VB0411,"ชะอม(กำใหญ่) (100 กรัม) Acacia",ผัก,3
6852,VB0161,"ถั่วฝักยาว (100 กรัม) Yard Long Bean",ผัก,5
6888,VB0551,"ถั่วพู (100 กรัม) Winged Bean",ผัก,3
6868,VB0351,"ผักชีฝรั่ง (100 กรัม) Parsley",ผัก,6
6930,VB1051,"มะระขี้นก (100 กรัม) Wild Bitter Gourd",ผัก,3
6859,VB0261,"มะเขือพวง (100 กรัม) pea Eggplant",ผัก,3
6862,VB0291,"รากผักชี (100 กรัม) Corlander Root",ผัก,10
6902,VB0721,"ลูกมะกรูด (100 กรัม) Bergamot",ผัก,5
6921,VB0951,"สะตอแกะ (100 กรัม) Peeled Stink bean",ผัก,3
7503,VB1160,"หัวปลี (1000 กรัม) Male Banana Flower",ผัก,1
6890,VB0571,"เห็ดหูหนู (100 กรัม) Bleck fung",ผัก,3
6965,VB1451,"ใบกะเพราแดง (100 กรัม) Holy Basil Leaves",ผัก,5
6906,VB0761,"ใบตอง (100 กรัม) Banana Leaf",ผัก,5
6901,VB0711,"ใบมะกรูด (100 กรัม) Leech Lime Leaf",ผัก,5
6869,VB0361,"ใบเตย (100 กรัม) Pandanus",ผัก,5
6844,VB0081,"ใบโหระพา (100 กรัม) Sweet Basil",ผัก,6
6874,VB0411,"ชะอม(กำใหญ่) (100 กรัม) Acacia",ผัก,5
6998,VB0342,"ดอกแค (200 กรัม) Sesban Flower",ผัก,3
7485,VB0970,"ตะไคร้ (1000 กรัม) Lemon Grass",ผัก,1
7526,VB1400,"บวบหอม (1000 กรัม) Sponge Gourd",ผัก,1
6992,VB0282,"ผักกระเฉด (200 กรัม) Water Mimosa",ผัก,3
6937,VB1131,"ผักหวานป่า (100 กรัม) Phak-Wan",ผัก,5
7079,VB1192,"ฝักกระถินอ่อน (200 กรัม) Lead Pod",ผัก,2
7482,VB0940,"ฟักทองลายทองคำ (1000 กรัม) Pumpkin",ผัก,1
7408,VB0190,"มะละกอดิบ (1000 กรัม) Payaya",ผัก,3
7406,VB0170,"มะเขือเปราะ (1000 กรัม)  Round egg plant",ผัก,3
6941,VB1181,"ยอดกระถิน (100 กรัม) Leucaena",ผัก,5
6868,VB0351,"ผักชีฝรั่ง (100 กรัม) Parsley",ผัก,3
6951,VB1281,"ชะพลู (100 กรัม) Wildbetal Leaf Bush",ผัก,3
7503,VB1160,"หัวปลี (1000 กรัม) Male Banana Flower",ผัก,1
6843,VB0071,"ใบแมงลัก (100 กรัม) Hairy Basil Leaf",ผัก,4
8570,FT0510,"ข้าวโพดข้าวเหนียว (1000 กรัม) Waxy Corn",ผลไม้,10
7467,VB0790,"มะเขือลาย (1000 กรัม) Small Eggplant",ผัก,1
7487,VB0990,"ฝักสะตอ (1000 กรัม) Nita Pod",ผัก,1
7520,VB1330,"หน่อไม้ไผ่ตง (1000 กรัม) Pai-Tong",ผัก,5
6787,DTF0210,"ลอดช่องวัดเจษ 400 ก (400 กรัม) Lod Chong Wat Jed",ขนม,5
8031,FT0230,"กล้วยน้ำว้า (650 กรัม) Banana",ผลไม้,3
7562,FT0011,"ทุเรียนแกะหมอนทอง (ลังเล็ก) (6000 กรัม) Monthong Durian",ผลไม้,1
6767,FT0075,"ลองกอง (1000 กรัม) Southern Langsat",ผลไม้,2
6771,FT0060,"มังคุด (1000 กรัม) Mangosteen",ผลไม้,3
6766,FT0140,"เงาะ (1000 กรัม) Rambutan",ผลไม้,2
6871,VB0381,"กระชายหัว (100 กรัม) Kaempfer",ผัก,20
6880,VB0471,"กระเทียมไทย กลีบ (100 กรัม) Garlic",ผัก,10
6873,VB0401,"ข่า (100 กรัม) Galanga",ผัก,20
7091,VB1312,"ขี้เหล็กต้ม (200 กรัม) Siamese Cassia Leaves",ผัก,10
6969,VB0032,"คะน้าต้น (200 กรัม)  Chinese Kale",ผัก,10
6838,VB0021,"คื่นช่าย (100 กรัม) Celery",ผัก,7
6951,VB1281,"ชะพลู (100 กรัม) Wildbetal Leaf Bush",ผัก,7
6874,VB0411,"ชะอม(กำใหญ่) (100 กรัม) Acacia",ผัก,20
6952,VB1291,"ดอกกระเจียว (100 กรัม) Curcuma Flower",ผัก,3
6925,VB1001,"ดอกสะเดา (100 กรัม) Neem Flower",ผัก,10
6867,VB0341,"ดอกแค (100 กรัม) Sasban Flower",ผัก,5
6923,VB0971,"ตะไคร้ (100 กรัม) Lemon Grass",ผัก,20
6982,VB0162,"ถั่วฝักยาว (200 กรัม) Yard Long Bean",ผัก,10
6888,VB0551,"ถั่วพู (100 กรัม) Winged Bean",ผัก,7
6992,VB0282,"ผักกระเฉด (200 กรัม) Water Mimosa",ผัก,7
6846,VB0101,"ผักชีไทย (100 กรัม) Coriander",ผัก,7
6868,VB0351,"ผักชีฝรั่ง (100 กรัม) Parsley",ผัก,20
6971,VB0052,"ผักบุ้งจีน (200 กรัม) Chinese Convolvulus",ผัก,15
6996,VB0322,"ผักบุ้งไทย (200 กรัม) Thai Morning Glory",ผัก,15
7064,VB1022,"ผักบุ้งนา (200 กรัม) Water Morning Glory",ผัก,4
6937,VB1131,"ผักหวานป่า (100 กรัม) Phak-Wan",ผัก,5
6876,VB0431,"ผักแขยง(กำ) (100 กรัม) Phak-Kha-Yaeng",ผัก,5
6957,VB1361,"ผักแพว (100 กรัม) Vietnamese coriander",ผัก,5
6942,VB1191,"ฝักกระถินอ่อน (100 กรัม) Leucaena",ผัก,10
6953,VB1301,"มะกอกลาว (100 กรัม) Hog Plum",ผัก,10
6859,VB0261,"มะเขือพวง (100 กรัม) pea Eggplant",ผัก,20
7042,VB0792,"มะเขือลาย (200 กรัม) Small Eggplant",ผัก,10
6983,VB0172,"มะเขือเปราะ (200 กรัม)  Round egg plant",ผัก,20
7044,VB0812,"มะเขือเหลือง (200 กรัม) Yellow Eggplant",ผัก,5
6941,VB1181,"ยอดกระถิน (100 กรัม) Leucaena",ผัก,5
6862,VB0291,"รากผักชี (100 กรัม) Corlander Root",ผัก,20
6902,VB0721,"ลูกมะกรูด (100 กรัม) Bergamot",ผัก,10
6921,VB0951,"สะตอแกะ (100 กรัม) Peeled Stink bean",ผัก,20
7070,VB1102,"สายบัว (200 กรัม) Lotus Stem",ผัก,5
7478,VB0900,"หน่อไม้ไผ่รวก (1000 กรัม) Long Sheath Bamboo",ผัก,5
7520,VB1330,"หน่อไม้ไผ่ตง (1000 กรัม) Pai-Tong",ผัก,3
7072,VB1122,"หวายอ่อนปลอก (200 กรัม) Rattan Shoot",ผัก,5
7001,VB0372,"หอมแดง (200 กรัม) Shallot",ผัก,5
6860,VB0271,"เม็ดกระถิน (100 กรัม) Lead Tree Seeds",ผัก,20
6948,VB1251,"เห็ดขอนขาว (100 กรัม) Lentinus Squarrosulus",ผัก,8
6842,VB0061,"ใบกะเพรา (100 กรัม)  Holy Basil Leaf",ผัก,25
6875,VB0421,"ใบบัวบก(กำใหญ่) (100 กรัม) Pennywort",ผัก,5
6901,VB0711,"ใบมะกรูด (100 กรัม) Leech Lime Leaf",ผัก,10
6903,VB0731,"ใบยอ (100 กรัม) Yor",ผัก,5
6904,VB0741,"ใบย่านาง (100 กรัม) Yanang leaf",ผัก,5
6843,VB0071,"ใบแมงลัก (100 กรัม) Hairy Basil Leaf",ผัก,20
